Names,Appearances,Goals,Goals per match,Headed goals,Goals with right foot,Goals with left foot,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Hit woodwork,Big chances missed,Assists,Passes,Passes per match,Big Chances Created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Tackles,Tackle success %,Blocked shots,Interceptions,Clearances,Headed Clearance,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Errors leading to goal
Jaroslaw Jach,0,0,,0,0,0,,,,,,0,,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Branislav Ivanovic,268,22,,7,13,2,,,,,,8,,20,"10,157",37.9,20,520,20%,12,672,57,2,301,19,538,80%,41,396,"1,158",549,"1,184","1,449",938,106,596,335,2
Alex Iwobi,137,12,0.09,2,9,1,0,0,160,65,41%,4,10,18,"4,177",30.49,25,188,,,,2,0,46,6,111,,49,55,41,21,,,,,,,
José Izquierdo,47,5,0.11,0,5,0,0,0,67,19,28%,0,3,4,728,15.49,4,29,,,,3,0,26,18,38,,19,21,32,11,,,,,,,
Phil Jagielka,367,18,,10,8,0,,,,,,7,,9,"14,808",40.35,8,131,30%,11,"1,831",23,2,160,3,706,76%,39,619,"2,978","1,078","1,630","1,848",932,35,786,498,6
Pierre-Emile Højbjerg,122,4,0.03,0,3,1,0,0,147,41,28%,4,8,5,"6,624",54.3,6,90,32%,20,353,22,2,169,2,280,64%,35,189,154,82,"1,018",704,669,104,166,129,2
Odion Ighalo,67,16,0.24,1,12,3,0,0,153,62,41%,3,25,4,"1,045",15.6,1,20,,,,5,0,65,37,39,,36,18,30,16,,,,,,,
Ryan Inniss,0,0,,0,0,0,,,,,,0,,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Danny Ings,121,49,0.4,7,28,13,7,0,286,117,41%,10,28,12,"2,109",17.43,15,100,,,,12,0,97,46,114,,68,37,52,33,,,,,,,
Ivan Cavaleiro,35,4,0.11,0,4,0,1,0,32,13,41%,2,5,1,569,16.26,3,90,,,,2,0,30,9,12,,8,11,7,4,,,,,,,
Kelechi Iheanacho,123,21,0.17,4,3,13,0,0,139,57,41%,2,18,13,"1,376",11.19,16,27,,,,6,0,86,32,38,,44,11,22,14,,,,,,,
Callum Hudson-Odoi,39,2,0.05,0,2,0,0,0,34,9,26%,1,2,6,728,18.67,9,98,,,,1,0,16,6,19,,18,9,4,2,,,,,,,
Jordan Hugill,3,0,3,0,0,0,0,0,0,0,0%,0,0,0,9,3,0,0,,,,0,0,3,0,0,,0,0,0,0,,,,,,,
Conor Hourihane,31,4,0.13,0,1,3,0,1,34,12,35%,1,1,6,745,24.03,10,139,23%,1,24,4,0,15,4,16,63%,13,9,28,10,83,55,51,4,15,9,0
